x1,x2,operacion,resultado
70,66,*,4620.0
71,33,+,104.0
38,75,/,0.5066666666666667
49,81,-,-32.0
40,9,-,31.0
21,17,+,38.0
51,27,-,24.0
46,42,-,4.0
72,34,/,2.1176470588235294
84,61,*,5124.0
67,54,-,13.0
93,59,-,34.0
88,17,/,5.176470588235294
66,27,/,2.4444444444444446
100,18,+,118.0
17,38,/,0.4473684210526316
53,49,*,2597.0
78,68,-,10.0
91,46,-,45.0
10,11,-,-1.0
31,28,/,1.1071428571428572
66,46,-,20.0
71,71,*,5041.0
57,59,/,0.9661016949152542
92,88,+,180.0
97,29,/,3.3448275862068964
95,47,/,2.021276595744681
65,92,/,0.7065217391304348
85,58,+,143.0
4,20,/,0.2
86,70,*,6020.0
44,23,*,1012.0
49,2,-,47.0
45,100,+,145.0
76,61,-,15.0
82,34,*,2788.0
93,80,*,7440.0
38,34,*,1292.0
61,27,+,88.0
45,39,-,6.0
52,41,/,1.2682926829268293
52,28,+,80.0
75,95,/,0.7894736842105263
87,50,-,37.0
64,22,+,86.0
44,10,+,54.0
68,32,-,36.0
23,94,+,117.0
81,56,/,1.4464285714285714
41,44,/,0.9318181818181818
70,4,+,74.0
19,91,-,-72.0
94,79,-,15.0
75,71,+,146.0
14,34,-,-20.0
50,61,*,3050.0
93,56,+,149.0
88,77,-,11.0
93,14,+,107.0
53,14,-,39.0
40,54,/,0.7407407407407407
59,25,*,1475.0
48,78,/,0.6153846153846154
46,2,-,44.0
94,97,/,0.9690721649484536
10,67,/,0.14925373134328357
5,89,+,94.0
97,85,-,12.0
44,8,/,5.5
59,70,+,129.0
99,40,*,3960.0
66,83,*,5478.0
64,89,*,5696.0
15,9,*,135.0
34,8,/,4.25
61,66,*,4026.0
47,14,+,61.0
39,98,*,3822.0
76,18,-,58.0
31,80,-,-49.0
52,77,/,0.6753246753246753
7,73,/,0.0958904109589041
46,53,-,-7.0
99,59,/,1.6779661016949152
93,9,+,102.0
98,41,-,57.0
99,54,-,45.0
77,96,+,173.0
44,63,-,-19.0
33,7,*,231.0
20,56,-,-36.0
33,34,-,-1.0
3,21,-,-18.0
50,30,+,80.0
48,83,-,-35.0
11,10,/,1.1
21,16,/,1.3125
41,95,+,136.0
3,80,/,0.0375
66,95,-,-29.0
22,27,-,-5.0
99,29,-,70.0
20,4,/,5.0
40,46,+,86.0
41,77,/,0.5324675324675324
5,3,/,1.6666666666666667
67,8,*,536.0
27,23,/,1.173913043478261
60,82,+,142.0
78,86,/,0.9069767441860465
59,73,+,132.0
68,19,/,3.5789473684210527
10,80,+,90.0
73,31,*,2263.0
67,89,-,-22.0
15,49,/,0.30612244897959184
3,35,+,38.0
83,74,-,9.0
63,40,*,2520.0
41,100,*,4100.0
85,64,+,149.0
83,45,*,3735.0
9,57,*,513.0
100,43,/,2.3255813953488373
99,47,+,146.0
70,76,+,146.0
79,16,*,1264.0
32,100,*,3200.0
79,34,*,2686.0
100,5,/,20.0
81,54,-,27.0
59,86,/,0.686046511627907
43,55,-,-12.0
55,95,-,-40.0
37,24,/,1.5416666666666667
63,23,+,86.0
87,18,-,69.0
74,67,+,141.0
25,30,*,750.0
23,24,/,0.9583333333333334
39,76,/,0.5131578947368421
99,30,/,3.3
83,46,-,37.0
82,90,-,-8.0
46,57,*,2622.0
64,8,-,56.0
36,2,*,72.0
94,100,+,194.0
40,70,+,110.0
62,95,*,5890.0
87,76,/,1.144736842105263
25,44,+,69.0
49,41,/,1.1951219512195121
60,6,/,10.0
62,69,+,131.0
38,41,-,-3.0
32,49,-,-17.0
91,83,/,1.0963855421686748
60,64,*,3840.0
51,51,+,102.0
98,85,+,183.0
6,80,+,86.0
14,14,*,196.0
83,94,/,0.8829787234042553
55,45,/,1.2222222222222223
36,23,+,59.0
9,33,/,0.2727272727272727
53,23,-,30.0
66,6,*,396.0
14,1,+,15.0
4,33,-,-29.0
32,4,+,36.0
39,27,/,1.4444444444444444
74,19,-,55.0
28,11,+,39.0
19,15,*,285.0
44,22,/,2.0
18,24,+,42.0
70,50,*,3500.0
37,77,*,2849.0
83,96,*,7968.0
7,60,-,-53.0
54,35,/,1.542857142857143
18,35,/,0.5142857142857142
14,74,*,1036.0
71,41,+,112.0
60,26,+,86.0
17,77,*,1309.0
68,83,+,151.0
54,26,*,1404.0
58,37,/,1.5675675675675675
12,77,*,924.0
82,2,*,164.0
44,30,*,1320.0
88,12,*,1056.0
83,54,+,137.0
42,91,/,0.46153846153846156
54,30,-,24.0
8,81,*,648.0
87,75,/,1.16
5,34,-,-29.0
56,17,+,73.0
64,59,*,3776.0
47,46,/,1.0217391304347827
67,55,/,1.2181818181818183
72,65,-,7.0
17,95,+,112.0
53,58,*,3074.0
37,73,/,0.5068493150684932
2,15,/,0.13333333333333333
58,28,+,86.0
23,36,+,59.0
62,45,+,107.0
22,17,-,5.0
19,57,+,76.0
17,69,/,0.2463768115942029
77,13,/,5.923076923076923
56,6,*,336.0
32,99,+,131.0
34,3,/,11.333333333333334
89,85,/,1.0470588235294118
58,48,+,106.0
40,51,/,0.7843137254901961
98,87,+,185.0
33,58,*,1914.0
62,55,*,3410.0
82,37,*,3034.0
32,7,*,224.0
1,91,+,92.0
65,13,+,78.0
22,63,-,-41.0
91,41,/,2.2195121951219514
96,87,*,8352.0
77,35,-,42.0
17,91,/,0.18681318681318682
20,90,-,-70.0
10,2,-,8.0
95,17,*,1615.0
97,48,-,49.0
78,19,+,97.0
57,72,*,4104.0
97,1,*,97.0
72,68,*,4896.0
30,17,-,13.0
38,9,*,342.0
100,26,/,3.8461538461538463
90,2,+,92.0
56,47,*,2632.0
29,88,+,117.0
23,73,/,0.3150684931506849
44,100,-,-56.0
74,30,+,104.0
77,83,/,0.927710843373494
52,40,+,92.0
1,99,-,-98.0
45,89,/,0.5056179775280899
57,79,-,-22.0
19,99,-,-80.0
56,74,+,130.0
50,52,*,2600.0
87,15,-,72.0
18,30,/,0.6
48,9,*,432.0
30,73,/,0.410958904109589
1,98,+,99.0
34,78,-,-44.0
5,55,-,-50.0
58,41,+,99.0
31,70,/,0.44285714285714284
45,66,/,0.6818181818181818
46,53,*,2438.0
45,49,*,2205.0
54,5,*,270.0
98,29,-,69.0
56,44,+,100.0
75,3,-,72.0
10,94,-,-84.0
40,2,/,20.0
23,14,+,37.0
22,34,/,0.6470588235294118
98,25,-,73.0
35,86,+,121.0
88,100,+,188.0
89,8,/,11.125
98,44,-,54.0
69,29,/,2.3793103448275863
63,59,*,3717.0
79,44,*,3476.0
56,89,/,0.6292134831460674
13,87,+,100.0
18,44,/,0.4090909090909091
79,31,-,48.0
97,63,/,1.5396825396825398
41,39,/,1.0512820512820513
23,55,/,0.41818181818181815
84,15,+,99.0
78,42,+,120.0
19,31,*,589.0
46,12,-,34.0
49,1,+,50.0
34,23,+,57.0
24,13,+,37.0
85,94,+,179.0
50,90,+,140.0
72,28,*,2016.0
24,42,*,1008.0
82,99,-,-17.0
89,31,*,2759.0
15,5,-,10.0
15,89,+,104.0
71,43,/,1.6511627906976745
56,13,-,43.0
78,85,/,0.9176470588235294
10,79,*,790.0
72,2,/,36.0
75,90,*,6750.0
1,74,+,75.0
72,52,*,3744.0
4,6,/,0.6666666666666666
5,72,/,0.06944444444444445
33,40,*,1320.0
49,46,+,95.0
8,7,+,15.0
93,74,+,167.0
77,21,*,1617.0
30,78,/,0.38461538461538464
31,25,/,1.24
1,75,*,75.0
70,89,+,159.0
14,53,*,742.0
61,16,+,77.0
4,96,+,100.0
93,18,/,5.166666666666667
54,69,-,-15.0
10,38,+,48.0
23,34,*,782.0
10,64,+,74.0
79,13,-,66.0
71,87,*,6177.0
56,78,*,4368.0
57,100,+,157.0
99,23,+,122.0
72,64,-,8.0
70,72,+,142.0
7,65,*,455.0
65,48,*,3120.0
71,91,/,0.7802197802197802
91,76,/,1.1973684210526316
35,4,/,8.75
27,11,+,38.0
90,18,/,5.0
68,20,*,1360.0
52,42,/,1.2380952380952381
55,75,+,130.0
25,8,-,17.0
12,69,/,0.17391304347826086
38,56,/,0.6785714285714286
88,56,-,32.0
97,89,/,1.0898876404494382
96,9,+,105.0
26,2,+,28.0
85,58,-,27.0
97,26,-,71.0
100,62,+,162.0
32,45,/,0.7111111111111111
95,84,*,7980.0
3,13,+,16.0
13,85,*,1105.0
26,39,*,1014.0
64,94,-,-30.0
42,18,/,2.3333333333333335
48,28,-,20.0
7,38,*,266.0
53,43,-,10.0
60,57,+,117.0
97,69,/,1.4057971014492754
76,24,/,3.1666666666666665
98,29,+,127.0
32,31,+,63.0
56,100,*,5600.0
86,51,*,4386.0
44,59,/,0.7457627118644068
11,100,-,-89.0
74,10,-,64.0
88,69,+,157.0
2,80,*,160.0
68,60,-,8.0
27,29,-,-2.0
27,86,/,0.313953488372093
60,52,/,1.1538461538461537
26,27,+,53.0
64,54,/,1.1851851851851851
87,65,*,5655.0
20,49,/,0.40816326530612246
75,24,*,1800.0
51,68,*,3468.0
12,1,/,12.0
64,85,/,0.7529411764705882
72,81,/,0.8888888888888888
79,84,-,-5.0
71,16,+,87.0
69,37,+,106.0
9,83,/,0.10843373493975904
55,58,+,113.0
30,31,*,930.0
33,26,/,1.2692307692307692
75,53,+,128.0
41,28,-,13.0
37,2,-,35.0
50,78,+,128.0
50,47,+,97.0
69,86,*,5934.0
36,40,*,1440.0
43,67,*,2881.0
63,41,/,1.5365853658536586
64,27,*,1728.0
12,8,-,4.0
53,24,/,2.2083333333333335
64,55,*,3520.0
15,52,/,0.28846153846153844
90,42,+,132.0
38,59,-,-21.0
70,36,*,2520.0
57,90,*,5130.0
21,94,-,-73.0
54,92,-,-38.0
39,89,*,3471.0
33,76,/,0.4342105263157895
73,34,/,2.1470588235294117
4,56,+,60.0
26,29,*,754.0
45,97,+,142.0
14,47,/,0.2978723404255319
86,78,/,1.1025641025641026
86,43,+,129.0
27,68,/,0.39705882352941174
8,22,+,30.0
28,16,/,1.75
74,6,+,80.0
96,79,*,7584.0
45,93,/,0.4838709677419355
57,96,-,-39.0
28,35,*,980.0
41,76,*,3116.0
22,32,-,-10.0
84,16,+,100.0
91,97,-,-6.0
21,69,*,1449.0
29,63,+,92.0
23,48,-,-25.0
91,26,/,3.5
18,96,*,1728.0
64,98,*,6272.0
99,73,-,26.0
70,5,+,75.0
28,45,/,0.6222222222222222
13,24,*,312.0
78,44,-,34.0
73,31,*,2263.0
100,37,*,3700.0
32,80,-,-48.0
22,75,/,0.29333333333333333
70,85,-,-15.0
31,19,+,50.0
72,24,/,3.0
93,28,-,65.0
8,42,/,0.19047619047619047
20,19,/,1.0526315789473684
33,88,-,-55.0
27,36,+,63.0
63,18,/,3.5
37,31,/,1.1935483870967742
1,9,-,-8.0
65,68,/,0.9558823529411765
41,39,*,1599.0
21,6,-,15.0
72,8,-,64.0
22,40,*,880.0
48,27,/,1.7777777777777777
23,33,+,56.0
52,6,/,8.666666666666666
26,18,-,8.0
13,34,-,-21.0
69,12,*,828.0
10,24,-,-14.0
58,83,*,4814.0
52,23,/,2.260869565217391
78,60,-,18.0
28,97,+,125.0
91,15,*,1365.0
55,47,/,1.1702127659574468
38,18,/,2.111111111111111
59,36,*,2124.0
59,72,+,131.0
47,93,-,-46.0
35,57,+,92.0
16,95,-,-79.0
53,57,-,-4.0
55,72,-,-17.0
4,47,+,51.0
9,27,/,0.3333333333333333
93,27,/,3.4444444444444446
10,13,-,-3.0
100,91,/,1.098901098901099
97,78,/,1.2435897435897436
93,5,/,18.6
94,38,+,132.0
56,67,/,0.835820895522388
78,54,*,4212.0
77,88,/,0.875
77,81,*,6237.0
76,4,*,304.0
40,100,+,140.0
94,14,/,6.714285714285714
35,17,+,52.0
49,37,+,86.0
22,17,-,5.0
56,81,*,4536.0
51,8,-,43.0
53,63,-,-10.0
99,51,*,5049.0
53,95,*,5035.0
53,60,-,-7.0
89,35,*,3115.0
94,33,/,2.8484848484848486
82,36,-,46.0
9,95,+,104.0
1,83,+,84.0
20,5,+,25.0
55,17,+,72.0
41,77,+,118.0
13,8,+,21.0
91,84,+,175.0
56,73,+,129.0
57,1,*,57.0
4,49,/,0.08163265306122448
54,80,/,0.675
36,47,*,1692.0
1,24,/,0.041666666666666664
5,23,*,115.0
73,39,-,34.0
100,16,*,1600.0
41,67,*,2747.0
25,45,*,1125.0
62,89,*,5518.0
54,63,+,117.0
14,72,+,86.0
49,7,+,56.0
21,89,+,110.0
40,74,/,0.5405405405405406
7,40,/,0.175
30,63,+,93.0
29,24,*,696.0
56,52,/,1.0769230769230769
56,97,/,0.5773195876288659
50,71,/,0.704225352112676
47,45,*,2115.0
23,73,+,96.0
19,55,+,74.0
77,34,+,111.0
50,93,+,143.0
4,84,+,88.0
63,38,*,2394.0
20,23,/,0.8695652173913043
79,77,-,2.0
84,85,/,0.9882352941176471
35,16,-,19.0
61,52,*,3172.0
73,82,*,5986.0
27,62,/,0.43548387096774194
86,34,*,2924.0
56,99,*,5544.0
13,42,/,0.30952380952380953
97,41,-,56.0
92,47,*,4324.0
46,86,+,132.0
8,13,/,0.6153846153846154
60,72,+,132.0
67,65,-,2.0
77,40,+,117.0
88,61,/,1.4426229508196722
75,53,+,128.0
72,64,-,8.0
70,16,*,1120.0
12,86,+,98.0
40,94,+,134.0
91,3,-,88.0
35,18,/,1.9444444444444444
70,55,/,1.2727272727272727
54,83,-,-29.0
95,4,-,91.0
62,39,-,23.0
43,12,+,55.0
36,10,-,26.0
79,20,+,99.0
3,6,/,0.5
66,52,+,118.0
10,8,/,1.25
81,5,+,86.0
97,8,*,776.0
81,58,/,1.396551724137931
16,50,*,800.0
5,27,/,0.18518518518518517
18,49,-,-31.0
48,50,/,0.96
66,7,/,9.428571428571429
67,43,*,2881.0
40,80,+,120.0
43,30,*,1290.0
41,100,/,0.41
8,8,*,64.0
90,40,-,50.0
13,49,-,-36.0
54,80,/,0.675
67,24,*,1608.0
77,92,-,-15.0
14,4,+,18.0
37,68,-,-31.0
17,47,/,0.3617021276595745
46,32,/,1.4375
76,67,+,143.0
92,72,-,20.0
79,5,+,84.0
87,55,+,142.0
50,96,/,0.5208333333333334
96,71,-,25.0
41,73,/,0.5616438356164384
70,40,/,1.75
73,49,/,1.489795918367347
13,32,+,45.0
43,40,*,1720.0
74,78,/,0.9487179487179487
1,56,*,56.0
49,73,/,0.6712328767123288
91,100,/,0.91
9,99,+,108.0
89,10,*,890.0
29,2,/,14.5
65,44,*,2860.0
82,74,-,8.0
68,95,/,0.7157894736842105
78,65,-,13.0
85,3,/,28.333333333333332
44,60,+,104.0
53,9,+,62.0
96,81,*,7776.0
17,84,*,1428.0
86,34,/,2.5294117647058822
50,96,-,-46.0
74,99,-,-25.0
4,47,-,-43.0
75,40,+,115.0
39,86,-,-47.0
47,55,*,2585.0
79,20,/,3.95
91,97,/,0.9381443298969072
74,94,+,168.0
43,100,*,4300.0
72,88,-,-16.0
1,7,-,-6.0
14,48,*,672.0
86,79,-,7.0
3,48,-,-45.0
26,92,-,-66.0
36,13,-,23.0
19,18,/,1.0555555555555556
97,9,-,88.0
65,13,*,845.0
26,52,/,0.5
36,52,*,1872.0
82,32,/,2.5625
69,63,*,4347.0
53,13,/,4.076923076923077
61,61,-,0.0
45,67,*,3015.0
4,62,+,66.0
69,97,/,0.711340206185567
30,61,*,1830.0
50,8,-,42.0
19,31,/,0.6129032258064516
37,26,*,962.0
59,69,+,128.0
92,65,-,27.0
96,19,+,115.0
15,81,/,0.18518518518518517
49,5,-,44.0
70,38,-,32.0
19,89,-,-70.0
27,74,-,-47.0
98,50,-,48.0
43,34,*,1462.0
28,90,+,118.0
83,5,/,16.6
56,71,/,0.7887323943661971
33,96,-,-63.0
57,36,*,2052.0
38,68,/,0.5588235294117647
69,62,+,131.0
29,48,-,-19.0
48,86,/,0.5581395348837209
29,8,+,37.0
34,69,*,2346.0
19,20,+,39.0
96,2,-,94.0
95,86,-,9.0
43,95,*,4085.0
86,35,*,3010.0
9,26,-,-17.0
94,76,*,7144.0
85,20,-,65.0
32,51,+,83.0
75,67,*,5025.0
47,72,/,0.6527777777777778
87,34,/,2.5588235294117645
47,93,*,4371.0
63,3,*,189.0
17,86,*,1462.0
56,95,+,151.0
45,60,+,105.0
60,54,-,6.0
20,24,-,-4.0
20,13,-,7.0
5,71,/,0.07042253521126761
30,68,+,98.0
29,98,/,0.29591836734693877
86,4,+,90.0
52,41,/,1.2682926829268293
4,35,+,39.0
9,64,+,73.0
35,11,*,385.0
59,33,-,26.0
36,29,/,1.2413793103448276
22,81,*,1782.0
11,99,/,0.1111111111111111
100,42,*,4200.0
15,95,*,1425.0
94,32,/,2.9375
8,94,/,0.0851063829787234
22,21,-,1.0
22,14,/,1.5714285714285714
80,69,-,11.0
88,73,-,15.0
48,97,/,0.4948453608247423
57,15,/,3.8
22,26,/,0.8461538461538461
31,2,+,33.0
32,64,/,0.5
68,25,-,43.0
74,32,+,106.0
17,87,+,104.0
44,61,+,105.0
73,30,/,2.433333333333333
18,38,/,0.47368421052631576
16,54,/,0.2962962962962963
32,46,+,78.0
88,58,-,30.0
28,31,/,0.9032258064516129
4,44,+,48.0
90,3,-,87.0
50,9,*,450.0
18,95,+,113.0
64,58,-,6.0
2,7,/,0.2857142857142857
38,29,*,1102.0
22,100,-,-78.0
10,20,*,200.0
99,42,/,2.357142857142857
72,97,/,0.7422680412371134
49,44,*,2156.0
7,100,-,-93.0
47,63,+,110.0
100,100,+,200.0
10,24,*,240.0
100,12,*,1200.0
62,37,+,99.0
14,21,-,-7.0
38,47,-,-9.0
7,41,*,287.0
15,27,-,-12.0
59,12,/,4.916666666666667
32,7,-,25.0
34,73,/,0.4657534246575342
38,89,*,3382.0
54,51,-,3.0
86,18,+,104.0
58,84,/,0.6904761904761905
65,4,-,61.0
32,59,+,91.0
36,89,*,3204.0
44,19,+,63.0
71,86,+,157.0
98,92,+,190.0
16,14,+,30.0
61,80,+,141.0
66,67,+,133.0
22,94,-,-72.0
5,56,-,-51.0
81,52,-,29.0
62,24,-,38.0
26,24,*,624.0
11,96,+,107.0
22,78,+,100.0
43,17,+,60.0
37,12,+,49.0
97,55,/,1.7636363636363637
16,20,-,-4.0
17,25,*,425.0
55,40,+,95.0
