Fecha,Producto,Demanda
2024-06-06,1001,25
2024-06-07,1001,16
2024-06-08,1001,14
2024-06-09,1001,17
2024-06-10,1001,23
2024-06-11,1001,25
2024-06-12,1001,28
2024-06-13,1001,23
2024-06-14,1001,20
2024-06-15,1001,20
2024-06-16,1001,13
2024-06-17,1001,21
2024-06-18,1001,25
2024-06-19,1001,30
2024-06-20,1001,22
2024-06-21,1001,21
2024-06-22,1001,21
2024-06-23,1001,10
2024-06-24,1001,26
2024-06-25,1001,21
2024-06-26,1001,21
2024-06-27,1001,12
2024-06-28,1001,16
2024-06-29,1001,16
2024-06-30,1001,16
2024-01-01,1002,33
2024-01-02,1002,39
2024-01-03,1002,37
2024-01-04,1002,36
2024-01-05,1002,24
2024-01-06,1002,26
2024-01-07,1002,21
2024-01-08,1002,27
2024-01-09,1002,37
2024-01-10,1002,34
2024-01-11,1002,37
2024-01-12,1002,30
2024-01-13,1002,36
2024-01-14,1002,26
2024-01-15,1002,24
2024-01-16,1002,34
2024-01-17,1002,31
2024-01-18,1002,36
2024-01-19,1002,28
2024-01-20,1002,25
2024-01-21,1002,26
2024-01-22,1002,33
2024-01-23,1002,32
2024-01-24,1002,38
2024-01-25,1002,36
2024-01-26,1002,26
2024-01-27,1002,21
2024-01-28,1002,24
2024-01-29,1002,33
2024-01-30,1002,34
2024-01-31,1002,37
2024-02-01,1002,39
2024-02-02,1002,29
2024-02-03,1002,22
2024-02-04,1002,30
2024-02-05,1002,30
2024-02-06,1002,37
2024-02-07,1002,39
2024-02-08,1002,28
2024-02-09,1002,33
2024-02-10,1002,29
2024-02-11,1002,24
2024-02-12,1002,31
2024-02-13,1002,35
2024-02-14,1002,35
2024-02-15,1002,36
2024-02-16,1002,34
2024-02-17,1002,25
2024-02-18,1002,31
2024-02-19,1002,34
2024-02-20,1002,35
2024-02-21,1002,36
2024-02-22,1002,28
2024-02-23,1002,22
2024-02-24,1002,26
2024-02-25,1002,23
2024-02-26,1002,30
2024-02-27,1002,32
2024-02-28,1002,28
2024-02-29,1002,34
2024-03-01,1002,26
2024-03-02,1002,25
2024-03-03,1002,23
2024-03-04,1002,29
2024-03-05,1002,40
2024-03-06,1002,35
2024-03-07,1002,34
2024-03-08,1002,23
2024-03-09,1002,35
2024-03-10,1002,33
2024-03-11,1002,35
2024-03-12,1002,37
2024-03-13,1002,35
2024-03-14,1002,34
2024-03-15,1002,32
2024-03-16,1002,23
2024-03-17,1002,24
2024-03-18,1002,23
2024-03-19,1002,31
2024-03-20,1002,42
2024-03-21,1002,31
2024-03-22,1002,27
2024-03-23,1002,26
2024-03-24,1002,20
2024-03-25,1002,34
2024-03-26,1002,39
2024-03-27,1002,36
2024-03-28,1002,39
2024-03-29,1002,23
2024-03-30,1002,33
2024-03-31,1002,23
2024-04-01,1002,25
2024-04-02,1002,33
2024-04-03,1002,42
2024-04-04,1002,32
2024-04-05,1002,24
2024-04-06,1002,20
2024-04-07,1002,26
2024-04-08,1002,22
2024-04-09,1002,29
2024-04-10,1002,41
2024-04-11,1002,37
2024-04-12,1002,27
2024-04-13,1002,23
2024-04-14,1002,26
2024-04-15,1002,39
2024-04-16,1002,36
2024-04-17,1002,39
2024-04-18,1002,31
2024-04-19,1002,28
2024-04-20,1002,28
2024-04-21,1002,27
2024-04-22,1002,22
2024-04-23,1002,39
2024-04-24,1002,32
2024-04-25,1002,41
2024-04-26,1002,31
2024-04-27,1002,25
2024-04-28,1002,28
2024-04-29,1002,30
2024-04-30,1002,32
2024-05-01,1002,36
2024-05-02,1002,36
2024-05-03,1002,26
2024-05-04,1002,23
2024-05-05,1002,25
2024-05-06,1002,34
2024-05-07,1002,40
2024-05-08,1002,36
2024-05-09,1002,34
2024-05-10,1002,25
2024-05-11,1002,29
2024-05-12,1002,28
2024-05-13,1002,27
2024-05-14,1002,27
2024-05-15,1002,30
2024-05-16,1002,29
2024-05-17,1002,32
2024-05-18,1002,31
2024-05-19,1002,24
2024-05-20,1002,28
2024-05-21,1002,35
2024-05-22,1002,35
2024-05-23,1002,36
2024-05-24,1002,26
2024-05-25,1002,29
2024-05-26,1002,25
2024-05-27,1002,33
2024-05-28,1002,33
2024-05-29,1002,32
2024-05-30,1002,40
2024-05-31,1002,32
2024-06-01,1002,18
2024-06-02,1002,24
2024-06-03,1002,35
2024-06-04,1002,29
2024-06-05,1002,38
2024-06-06,1002,35
2024-06-07,1002,25
2024-06-08,1002,25
2024-06-09,1002,18
2024-06-10,1002,37
2024-06-11,1002,33
2024-06-12,1002,38
2024-06-13,1002,35
2024-06-14,1002,33
2024-06-15,1002,23
2024-06-16,1002,27
2024-06-17,1002,32
2024-06-18,1002,37
2024-06-19,1002,39
2024-06-20,1002,30
2024-06-21,1002,25
2024-06-22,1002,31
2024-06-23,1002,18
2024-06-24,1002,36
2024-06-25,1002,33
2024-06-26,1002,35
2024-06-27,1002,29
2024-06-28,1002,28
2024-06-29,1002,30
2024-06-30,1002,29
2024-01-01,1003,25
2024-01-02,1003,25
2024-01-03,1003,28
2024-01-04,1003,29
2024-01-05,1003,15
2024-01-06,1003,27
2024-01-07,1003,16
2024-01-08,1003,29
2024-01-09,1003,30
2024-01-10,1003,33
2024-01-11,1003,27
2024-01-12,1003,26
2024-01-13,1003,20
2024-01-14,1003,21
2024-01-15,1003,23
2024-01-16,1003,37
2024-01-17,1003,33
2024-01-18,1003,30
2024-01-19,1003,21
2024-01-20,1003,21
2024-01-21,1003,19
2024-01-22,1003,25
2024-01-23,1003,26
2024-01-24,1003,38
2024-01-25,1003,26
2024-01-26,1003,21
2024-01-27,1003,17
2024-01-28,1003,20
2024-01-29,1003,25
2024-01-30,1003,31
2024-01-31,1003,29
2024-02-01,1003,23
2024-02-02,1003,19
2024-02-03,1003,25
2024-02-04,1003,23
2024-02-05,1003,30
2024-02-06,1003,34
2024-02-07,1003,32
2024-02-08,1003,24
2024-02-09,1003,26
2024-02-10,1003,28
2024-02-11,1003,21
2024-02-12,1003,28
2024-02-13,1003,31
2024-02-14,1003,37
2024-02-15,1003,26
2024-02-16,1003,29
2024-02-17,1003,21
2024-02-18,1003,20
2024-02-19,1003,27
2024-02-20,1003,32
2024-02-21,1003,40
2024-02-22,1003,30
2024-02-23,1003,26
2024-02-24,1003,29
2024-02-25,1003,25
2024-02-26,1003,24
2024-02-27,1003,36
2024-02-28,1003,29
2024-02-29,1003,27
2024-03-01,1003,21
2024-03-02,1003,18
2024-03-03,1003,24
2024-03-04,1003,26
2024-03-05,1003,17
2024-03-06,1003,31
2024-03-07,1003,27
2024-03-08,1003,28
2024-03-09,1003,20
2024-03-10,1003,33
2024-03-11,1003,33
2024-03-12,1003,29
2024-03-13,1003,36
2024-03-14,1003,31
2024-03-15,1003,26
2024-03-16,1003,25
2024-03-17,1003,23
2024-03-18,1003,28
2024-03-19,1003,34
2024-03-20,1003,40
2024-03-21,1003,30
2024-03-22,1003,23
2024-03-23,1003,14
2024-03-24,1003,31
2024-03-25,1003,26
2024-03-26,1003,33
2024-03-27,1003,39
2024-03-28,1003,30
2024-03-29,1003,24
2024-03-30,1003,28
2024-03-31,1003,25
2024-04-01,1003,29
2024-04-02,1003,25
2024-04-03,1003,37
2024-04-04,1003,31
2024-04-05,1003,19
2024-04-06,1003,24
2024-04-07,1003,15
2024-04-08,1003,36
2024-04-09,1003,27
2024-04-10,1003,38
2024-04-11,1003,26
2024-04-12,1003,27
2024-04-13,1003,18
2024-04-14,1003,27
2024-04-15,1003,26
2024-04-16,1003,33
2024-04-17,1003,32
2024-04-18,1003,24
2024-04-19,1003,27
2024-04-20,1003,20
2024-04-21,1003,27
2024-04-22,1003,26
2024-04-23,1003,31
2024-04-24,1003,39
2024-04-25,1003,39
2024-04-26,1003,28
2024-04-27,1003,21
2024-04-28,1003,22
2024-04-29,1003,24
2024-04-30,1003,28
2024-05-01,1003,31
2024-05-02,1003,37
2024-05-03,1003,24
2024-05-04,1003,17
2024-05-05,1003,23
2024-05-06,1003,28
2024-05-07,1003,31
2024-05-08,1003,35
2024-05-09,1003,29
2024-05-10,1003,28
2024-05-11,1003,19
2024-05-12,1003,30
2024-05-13,1003,28
2024-05-14,1003,33
2024-05-15,1003,29
2024-05-16,1003,31
2024-05-17,1003,27
2024-05-18,1003,17
2024-05-19,1003,16
2024-05-20,1003,28
2024-05-21,1003,29
2024-05-22,1003,33
2024-05-23,1003,24
2024-05-24,1003,19
2024-05-25,1003,23
2024-05-26,1003,22
2024-05-27,1003,19
2024-05-28,1003,36
2024-05-29,1003,27
2024-05-30,1003,39
2024-05-31,1003,22
2024-06-01,1003,24
2024-06-02,1003,30
2024-06-03,1003,33
2024-06-04,1003,39
2024-06-05,1003,26
2024-06-06,1003,25
2024-06-07,1003,26
2024-06-08,1003,25
2024-06-09,1003,23
2024-06-10,1003,20
2024-06-11,1003,33
2024-06-12,1003,31
2024-06-13,1003,28
2024-06-14,1003,16
2024-06-15,1003,25
2024-06-16,1003,24
2024-06-17,1003,34
2024-06-18,1003,31
2024-06-19,1003,34
2024-06-20,1003,32
2024-06-21,1003,18
2024-06-22,1003,33
2024-06-23,1003,21
2024-06-24,1003,29
2024-06-25,1003,33
2024-06-26,1003,29
2024-06-27,1003,37
2024-06-28,1003,26
2024-06-29,1003,21
2024-06-30,1003,24
